Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Thickness_min (mm),F_pull_physical
174,80,600,0,108.7,3668.85,0.631,0.637,AISI 1010 carbon steel,2710.6,3.3,Good,,1.268,0.631,1736.5341888276796
251,60,1000,15,73.25,4183.18,0.624,0.634,AISI 1010 carbon steel,3040.2,3.68,Good,,1.258,0.624,1717.2699426758668
329,60,800,15,78.97,3275.02,0.626,0.637,AISI 1010 carbon steel,3068.9,3.53,Good,,1.263,0.626,1722.774013004956
465,60,1200,15,96.21,3356.46,0.619,0.629,AISI 1010 carbon steel,3178.9,3.99,Good,,1.248,0.619,1703.509766853144
128,80,800,0,115.0,3880.29,0.634,0.633,AISI 1010 carbon steel,2437.3,2.91,Good,,1.267,0.633,1742.038259156769
288,60,800,15,74.71,4133.54,0.618,0.623,AISI 1010 carbon steel,3208.2,3.82,Good,,1.241,0.618,1700.757731688599
420,60,400,15,95.75,3145.9,0.635,0.621,AISI 1010 carbon steel,2756.1,3.69,Good,,1.256,0.621,1709.013837182233
298,60,800,15,75.05,3105.18,0.637,0.626,AISI 1010 carbon steel,3168.8,3.6,Good,,1.263,0.626,1722.774013004956
13,95,200,0,41.54,1272.88,0.92,0.928,AISI 1010 carbon steel,2255.3,2.89,Bad,DOE,1.848,0.92,2531.872351381086
461,60,1200,15,96.08,3338.47,0.631,0.667,AISI 1010 carbon steel,3188.5,4.17,Good,,1.298,0.631,1736.5341888276796
96,80,800,0,114.97,3525.9,0.634,0.636,AISI 1010 carbon steel,2996.5,3.22,Good,,1.27,0.634,1744.7902943213132
166,80,600,0,108.32,3344.14,0.639,0.637,AISI 1010 carbon steel,2726.1,3.3,Good,,1.276,0.637,1753.046399814948
155,80,600,0,107.27,2836.55,0.647,0.629,AISI 1010 carbon steel,2618.5,3.1,Good,,1.276,0.629,1731.0301184985906
482,60,1200,0,97.12,4738.77,0.612,0.622,AISI 1010 carbon steel,2816.5,4.06,Good,,1.234,0.612,1684.2455207013315
49,60,1000,0,77.99,3300.65,0.656,0.64,AISI 1010 carbon steel,3245.9,3.8,Good,,1.296,0.64,1761.3025053085817
471,60,1200,0,97.29,4311.15,0.623,0.63,AISI 1010 carbon steel,2860.7,3.32,Good,,1.253,0.623,1714.5179075113228
100,80,800,0,115.14,3037.42,0.626,0.631,AISI 1010 carbon steel,2783.6,3.55,Good,,1.257,0.626,1722.774013004956
337,60,600,15,89.19,3624.04,0.627,0.621,AISI 1010 carbon steel,3073.7,3.69,Explode,,1.248,0.621,1709.013837182233
378,60,600,15,94.96,3402.77,0.623,0.652,AISI 1010 carbon steel,2168.1,3.42,Explode,,1.275,0.623,1714.5179075113228
62,80,1000,0,101.69,4180.71,0.638,0.636,AISI 1010 carbon steel,2943.9,3.91,Good,,1.274,0.636,1750.294364650403
206,60,400,0,93.23,3275.54,0.637,0.633,AISI 1010 carbon steel,2735.1,3.42,Good,,1.27,0.633,1742.038259156769
406,60,400,15,94.74,3166.07,0.625,0.621,AISI 1010 carbon steel,2888.8,3.57,Good,,1.246,0.621,1709.013837182233
253,60,1000,15,73.86,3701.06,0.641,0.638,AISI 1010 carbon steel,3251.9,4.12,Good,,1.279,0.638,1755.798434979492
287,60,800,15,74.87,4597.28,0.628,0.629,AISI 1010 carbon steel,3192.7,3.82,Good,,1.257,0.628,1728.2780833340457
488,60,1200,0,98.51,4429.61,0.625,0.622,AISI 1010 carbon steel,3141.8,3.58,Explode,,1.247,0.622,1711.7658723467775
437,60,1200,15,95.03,3053.8,0.625,0.627,AISI 1010 carbon steel,3192.1,3.41,Good,,1.252,0.625,1720.021977840412
7,35,1500,0,63.82,1137.29,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE,1.867,0.93,2559.392703026533
373,60,600,15,93.17,3103.52,0.614,0.623,AISI 1010 carbon steel,1726.1,3.57,Explode,,1.237,0.614,1689.7495910304208
36,60,1000,0,77.37,3176.92,0.647,0.638,AISI 1010 carbon steel,3608.1,4.02,Good,,1.285,0.638,1755.798434979492
341,60,600,15,89.46,3828.52,0.631,0.635,AISI 1010 carbon steel,3100.6,3.47,Good,,1.266,0.631,1736.5341888276796
161,80,600,0,108.14,3295.96,0.615,0.622,AISI 1010 carbon steel,2830.2,3.65,Good,,1.237,0.615,1692.5016261949654
283,60,1000,15,76.82,4338.59,0.615,0.61,AISI 1010 carbon steel,3113.1,3.83,Good,,1.225,0.61,1678.7414503722418
201,60,400,0,92.24,3182.32,0.634,0.637,AISI 1010 carbon steel,2706.4,3.28,Good,,1.271,0.634,1744.7902943213132
444,60,1200,15,95.14,3189.34,0.625,0.623,AISI 1010 carbon steel,3106.5,3.56,Good,,1.248,0.623,1714.5179075113228
356,60,600,15,94.59,4201.23,0.615,0.616,AISI 1010 carbon steel,2786.6,3.73,Good,,1.231,0.615,1692.5016261949654
22,35,1500,15,54.11,1440.24,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE,1.876,0.93,2559.392703026533
171,80,600,0,108.26,3964.48,0.637,0.634,AISI 1010 carbon steel,2775.2,3.41,Good,,1.271,0.634,1744.7902943213132
170,80,600,0,108.74,3612.16,0.629,0.632,AISI 1010 carbon steel,2816.5,3.58,Good,,1.261,0.629,1731.0301184985906
459,60,1200,15,96.02,2926.68,0.614,0.617,AISI 1010 carbon steel,3192.7,3.94,Good,,1.231,0.614,1689.7495910304208
23,35,200,15,6.74,977.91,0.933,0.935,AISI 1010 carbon steel,2710.5,2.68,Bad,DOE,1.868,0.933,2567.6488085201663
262,60,1000,15,73.75,4117.29,0.635,0.632,AISI 1010 carbon steel,3162.8,3.67,Good,,1.267,0.632,1739.2862239922247
42,60,1000,0,77.15,3424.44,0.644,0.645,AISI 1010 carbon steel,3394.2,4.3,Good,,1.289,0.644,1772.3106459667606
89,80,800,0,113.99,3086.85,0.628,0.634,AISI 1010 carbon steel,2992.3,3.31,Explode,,1.262,0.628,1728.2780833340457
414,60,400,15,95.58,3549.23,0.628,0.66,AISI 1010 carbon steel,2958.2,3.8,Good,,1.288,0.628,1728.2780833340457
428,60,400,15,96.1,2957.66,0.618,0.626,AISI 1010 carbon steel,2836.8,3.63,Good,,1.244,0.618,1700.757731688599
462,60,1200,15,95.96,3672.6,0.632,0.631,AISI 1010 carbon steel,3241.1,3.9,Good,,1.263,0.631,1736.5341888276796
417,60,400,15,95.86,3253.94,0.62,0.628,AISI 1010 carbon steel,2905.0,3.78,Good,,1.248,0.62,1706.2618020176888
