Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments
354,60,600,15,94.75,3875.41,0.616,0.612,AISI 1010 carbon steel,2617.3,3.44,Good,
360,60,600,15,94.21,4181.53,0.632,0.618,AISI 1010 carbon steel,3069.5,3.36,Good,
362,60,600,15,94.99,4235.89,0.637,0.633,AISI 1010 carbon steel,2840.4,3.58,Good,
364,60,600,15,95.1,4541.95,0.628,0.624,AISI 1010 carbon steel,3040.8,3.49,Good,
370,60,600,15,94.39,4167.94,0.625,0.624,AISI 1010 carbon steel,2976.2,3.43,Good,
372,60,600,15,93.23,4590.92,0.631,0.627,AISI 1010 carbon steel,3054.5,3.65,Good,
377,60,600,15,94.24,3736.67,0.618,0.626,AISI 1010 carbon steel,3139.4,4.02,Good,
381,60,600,15,94.79,3367.71,0.621,0.622,AISI 1010 carbon steel,3107.7,3.58,Good,
383,60,600,15,95.57,3795.59,0.626,0.622,AISI 1010 carbon steel,2617.3,4.06,Good,
390,60,400,15,95.18,3963.18,0.626,0.62,AISI 1010 carbon steel,2961.2,3.48,Good,
394,60,400,15,95.52,3320.39,0.626,0.622,AISI 1010 carbon steel,2672.3,3.36,Good,
398,60,400,15,94.89,3350.82,0.633,0.619,AISI 1010 carbon steel,3079.6,3.25,Good,
411,60,400,15,95.25,3013.54,0.625,0.63,AISI 1010 carbon steel,3111.9,4.05,Good,
417,60,400,15,95.86,3253.94,0.62,0.628,AISI 1010 carbon steel,2905.0,3.78,Good,
419,60,400,15,95.69,2987.75,0.624,0.623,AISI 1010 carbon steel,2795.5,3.47,Good,
426,60,400,15,96.24,3444.47,0.634,0.617,AISI 1010 carbon steel,2955.8,3.42,Good,
434,60,400,15,96.1,3006.69,0.628,0.625,AISI 1010 carbon steel,2817.7,3.64,Good,
438,60,1200,15,94.71,3035.15,0.628,0.63,AISI 1010 carbon steel,3250.1,3.7,Good,
444,60,1200,15,95.14,3189.34,0.625,0.623,AISI 1010 carbon steel,3106.5,3.56,Good,
446,60,1200,15,95.3,4077.41,0.616,0.614,AISI 1010 carbon steel,3174.7,3.51,Good,
449,60,1200,15,95.42,3725.61,0.615,0.61,AISI 1010 carbon steel,2976.8,3.66,Good,
450,60,1200,15,95.62,3594.02,0.619,0.617,AISI 1010 carbon steel,3116.1,3.52,Good,
454,60,1200,15,95.61,3040.82,0.62,0.612,AISI 1010 carbon steel,3080.2,3.71,Good,
460,60,1200,15,95.73,3048.16,0.616,0.611,AISI 1010 carbon steel,3090.4,3.51,Good,
469,60,1200,0,96.79,4293.96,0.621,0.625,AISI 1010 carbon steel,2937.9,3.57,Good,
470,60,1200,0,97.29,4226.13,0.634,0.625,AISI 1010 carbon steel,3028.8,3.38,Good,
471,60,1200,0,97.29,4311.15,0.623,0.63,AISI 1010 carbon steel,2860.7,3.32,Good,
482,60,1200,0,97.12,4738.77,0.612,0.622,AISI 1010 carbon steel,2816.5,4.06,Good,
483,60,1200,0,97.35,3971.85,0.63,0.628,AISI 1010 carbon steel,2978.6,3.93,Good,
